,rows,columns,rho,N,l,allocation,T,gdf_points_sample,needed_sample,T/(rows*columns),RA/(rows*columns)
136,10,10,0.0,100000,10,proportional,30,"           0                geometry  comuna    values   sigma_i  region
16428  16428   POINT (63.154 53.602)       0 -0.277251  0.964899       4
10445  10445   POINT (38.919 50.530)       0 -0.277251  0.964899       4
83466  83466   POINT (49.714 50.426)       0 -0.277251  0.964899       4
42825  42825   POINT (58.847 58.395)       0 -0.277251  0.964899       4
96002  96002   POINT (47.893 60.021)       0 -0.277251  0.964899       4
...      ...                     ...     ...       ...       ...     ...
11445  11445    POINT (5.896 83.466)       9  1.693308  1.154878       0
19343  19343    POINT (4.596 98.438)       9  1.693308  1.154878       0
72868  72868   POINT (4.342 105.409)       9  1.693308  1.154878       0
65511  65511    POINT (8.788 98.352)       9  1.693308  1.154878       0
18393  18393  POINT (28.773 101.994)       9  1.693308  1.154878       0

[332 rows x 6 columns]","[26.0, 28.0, 32.0, 23.0, 24.0, 35.0, 31.0, 19.0]",0.3,0.08
137,10,10,0.0,100000,10,proportional,50,"           0                geometry  comuna    values   sigma_i  region
8446    8446   POINT (57.834 58.358)       0  0.815221  1.130885       1
25236  25236   POINT (47.658 60.472)       0  0.815221  1.130885       1
30250  30250   POINT (42.749 57.796)       0  0.815221  1.130885       1
6344    6344   POINT (55.051 58.972)       0  0.815221  1.130885       1
55027  55027   POINT (68.567 79.206)       0  0.815221  1.130885       1
...      ...                     ...     ...       ...       ...     ...
23222  23222  POINT (27.366 104.245)       9 -1.344050  0.916054       4
66688  66688   POINT (29.487 97.025)       9 -1.344050  0.916054       4
13980  13980   POINT (16.555 96.393)       9 -1.344050  0.916054       4
94076  94076   POINT (14.895 87.435)       9 -1.344050  0.916054       4
39166  39166    POINT (8.438 85.018)       9 -1.344050  0.916054       4

[361 rows x 6 columns]","[39.0, 37.0, 50.0, 48.0, 63.0]",0.5,0.05
138,10,10,0.0,100000,10,proportional,100,"           0                geometry  comuna    values   sigma_i  region
92684  92684   POINT (44.909 65.344)       0 -0.451976  0.589391       1
85698  85698   POINT (30.161 50.960)       0 -0.451976  0.589391       1
3858    3858   POINT (44.256 55.414)       0 -0.451976  0.589391       1
33969  33969   POINT (55.780 42.102)       0 -0.451976  0.589391       1
99843  99843   POINT (67.587 46.207)       0 -0.451976  0.589391       1
...      ...                     ...     ...       ...       ...     ...
55465  55465   POINT (14.374 97.301)       9  2.550155  1.243571       2
2773    2773    POINT (3.113 88.796)       9  2.550155  1.243571       2
541      541    POINT (6.476 91.496)       9  2.550155  1.243571       2
54374  54374  POINT (26.919 101.979)       9  2.550155  1.243571       2
51526  51526   POINT (24.479 94.375)       9  2.550155  1.243571       2

[414 rows x 6 columns]","[112.0, 93.0, 67.0]",1.0,0.03
139,10,10,0.0,100000,10,proportional,150,"           0                geometry  comuna    values   sigma_i  region
466      466   POINT (56.313 59.535)       0 -0.430239  0.696818       0
39643  39643   POINT (55.328 64.841)       0 -0.430239  0.696818       0
41523  41523   POINT (49.149 55.348)       0 -0.430239  0.696818       0
97454  97454   POINT (59.825 52.490)       0 -0.430239  0.696818       0
25189  25189   POINT (54.687 55.355)       0 -0.430239  0.696818       0
...      ...                     ...     ...       ...       ...     ...
76991  76991  POINT (28.866 100.661)       9 -0.066197  0.575209       0
54499  54499   POINT (19.204 81.438)       9 -0.066197  0.575209       0
89357  89357    POINT (0.941 89.859)       9 -0.066197  0.575209       0
80015  80015    POINT (6.608 85.172)       9 -0.066197  0.575209       0
11545  11545   POINT (28.905 92.855)       9 -0.066197  0.575209       0

[328 rows x 6 columns]",[215.0],1.5,0.01
140,10,10,0.0,100000,15,neyman,25,"           0                   geometry  comuna    values   sigma_i  region
33705  33705  POINT (68.90671 17.19490)       0 -0.107768  0.942363       5
44825  44825  POINT (62.31492 27.01056)       0 -0.107768  0.942363       5
51859  51859  POINT (72.33258 25.00258)       0 -0.107768  0.942363       5
30553  30553  POINT (61.41086 20.50650)       0 -0.107768  0.942363       5
53294  53294  POINT (64.00922 30.28677)       0 -0.107768  0.942363       5
...      ...                        ...     ...       ...       ...     ...
44953  44953  POINT (26.21460 60.06627)      14  1.291874  0.840651      12
55920  55920  POINT (19.91869 72.89930)      14  1.291874  0.840651      12
44032  44032  POINT (11.63359 67.27867)      14  1.291874  0.840651      12
8391    8391  POINT (20.54411 75.45585)      14  1.291874  0.840651      12
33637  33637  POINT (16.40194 73.21980)      14  1.291874  0.840651      12

[893 rows x 6 columns]","[13.0, 12.0, 32.0, 18.0, 21.0, 15.0, 34.0, 23.0, 15.0, 15.0, 15.0, 31.0, 12.0, 12.0, 15.0, 11.0, 15.0, 12.0, 26.0, 20.0, 30.0, 19.0, 23.0, 19.0, 14.0, 19.0]",0.25,0.26
141,10,10,0.0,100000,15,neyman,30,"           0                   geometry  comuna    values   sigma_i  region
42514  42514  POINT (62.94753 23.81689)       0  0.059297  0.281047      10
90892  90892  POINT (68.43844 31.64638)       0  0.059297  0.281047      10
81828  81828  POINT (75.63935 31.57168)       0  0.059297  0.281047      10
75517  75517  POINT (62.35684 25.00120)       0  0.059297  0.281047      10
44347  44347  POINT (66.11633 21.07450)       0  0.059297  0.281047      10
...      ...                        ...     ...       ...       ...     ...
42089  42089  POINT (21.71510 87.08200)      14  1.546968  1.512629       8
70127  70127  POINT (21.88227 87.04839)      14  1.546968  1.512629       8
77608  77608   POINT (8.20998 76.93150)      14  1.546968  1.512629       8
7430    7430   POINT (5.47361 75.16583)      14  1.546968  1.512629       8
27645  27645   POINT (3.65556 62.60917)      14  1.546968  1.512629       8

[1014 rows x 6 columns]","[21.0, 18.0, 20.0, 17.0, 27.0, 26.0, 18.0, 24.0, 22.0, 26.0, 17.0, 14.0, 37.0, 18.0, 22.0, 19.0, 17.0, 43.0, 19.0, 14.0, 24.0, 23.0, 14.0, 20.0, 18.0, 19.0]",0.3,0.26
142,10,10,0.0,100000,15,neyman,50,"           0                   geometry  comuna    values   sigma_i  region
30074  30074  POINT (66.00104 39.34615)       0  0.970938  0.900516       8
33864  33864  POINT (67.91655 23.06983)       0  0.970938  0.900516       8
62671  62671  POINT (73.89099 20.60389)       0  0.970938  0.900516       8
23135  23135  POINT (68.40930 20.70677)       0  0.970938  0.900516       8
28706  28706  POINT (62.09608 27.72721)       0  0.970938  0.900516       8
...      ...                        ...     ...       ...       ...     ...
18795  18795  POINT (18.12085 71.91786)      14 -0.742393  1.347014       2
73401  73401  POINT (28.71422 86.32603)      14 -0.742393  1.347014       2
59035  59035  POINT (28.90788 65.99876)      14 -0.742393  1.347014       2
6550    6550  POINT (10.99697 76.72275)      14 -0.742393  1.347014       2
57697  57697  POINT (27.96701 63.23972)      14 -0.742393  1.347014       2

[691 rows x 6 columns]","[27.0, 27.0, 40.0, 48.0, 37.0, 34.0, 23.0, 34.0, 34.0, 28.0, 35.0]",0.5,0.11
143,10,10,0.0,100000,15,neyman,100,"           0                   geometry  comuna    values   sigma_i  region
94883  94883  POINT (79.25938 24.83934)       0  0.989543  1.052729       3
57914  57914  POINT (79.04738 22.97365)       0  0.989543  1.052729       3
1007    1007  POINT (64.25498 13.44197)       0  0.989543  1.052729       3
99093  99093  POINT (61.35816 34.79869)       0  0.989543  1.052729       3
64412  64412  POINT (65.64595 16.91199)       0  0.989543  1.052729       3
...      ...                        ...     ...       ...       ...     ...
31036  31036  POINT (18.54829 61.80227)      14  0.058099  0.672479       2
88463  88463  POINT (13.32576 65.66463)      14  0.058099  0.672479       2
18032  18032   POINT (0.50659 66.82901)      14  0.058099  0.672479       2
26392  26392  POINT (12.66930 76.17897)      14  0.058099  0.672479       2
7417    7417  POINT (18.64017 67.56413)      14  0.058099  0.672479       2

[618 rows x 6 columns]","[73.0, 53.0, 96.0, 61.0, 63.0]",1.0,0.05
144,10,10,0.0,100000,15,neyman,150,"           0                   geometry  comuna    values   sigma_i  region
3887    3887  POINT (71.71205 36.47030)       0 -0.261590  0.700386       1
99497  99497  POINT (63.34951 38.26531)       0 -0.261590  0.700386       1
32570  32570  POINT (63.42788 14.53449)       0 -0.261590  0.700386       1
69628  69628  POINT (77.07682 21.66345)       0 -0.261590  0.700386       1
76733  76733  POINT (68.28555 39.57773)       0 -0.261590  0.700386       1
...      ...                        ...     ...       ...       ...     ...
82773  82773  POINT (26.21952 69.46122)      14 -0.243723  1.104753       2
75309  75309  POINT (16.65379 62.76068)      14 -0.243723  1.104753       2
26316  26316  POINT (15.23390 66.17873)      14 -0.243723  1.104753       2
85610  85610   POINT (1.54781 62.59644)      14 -0.243723  1.104753       2
62687  62687  POINT (20.42994 83.89186)      14 -0.243723  1.104753       2

[846 rows x 6 columns]","[136.0, 147.0, 95.0, 77.0]",1.5,0.04
145,10,10,0.0,100000,15,proportional,25,"           0                   geometry  comuna    values   sigma_i  region
78621  78621  POINT (76.67798 37.92547)       0 -1.176610  1.216744       5
13722  13722  POINT (65.73632 23.45794)       0 -1.176610  1.216744       5
28643  28643  POINT (67.65471 21.23484)       0 -1.176610  1.216744       5
36128  36128  POINT (66.09824 37.98556)       0 -1.176610  1.216744       5
43953  43953  POINT (74.07054 37.27742)       0 -1.176610  1.216744       5
...      ...                        ...     ...       ...       ...     ...
88976  88976  POINT (28.82893 88.26715)      14  0.464997  0.621401       4
52718  52718  POINT (25.48073 89.14128)      14  0.464997  0.621401       4
13627  13627  POINT (21.40315 63.51726)      14  0.464997  0.621401       4
67123  67123  POINT (24.76973 70.07815)      14  0.464997  0.621401       4
67681  67681   POINT (7.54420 72.61109)      14  0.464997  0.621401       4

[429 rows x 6 columns]","[24.0, 26.0, 24.0, 21.0, 15.0, 28.0, 32.0, 17.0, 42.0, 20.0, 13.0, 19.0]",0.25,0.12
146,10,10,0.0,100000,15,proportional,30,"           0                   geometry  comuna    values   sigma_i  region
84489  84489  POINT (68.22808 30.56691)       0 -0.775793  0.609040       4
43312  43312  POINT (72.40829 37.56269)       0 -0.775793  0.609040       4
73797  73797  POINT (68.06718 23.55349)       0 -0.775793  0.609040       4
52191  52191  POINT (61.93566 32.68375)       0 -0.775793  0.609040       4
46208  46208  POINT (73.57654 31.74602)       0 -0.775793  0.609040       4
...      ...                        ...     ...       ...       ...     ...
62510  62510  POINT (17.03131 71.62022)      14 -1.365682  0.764411       1
23831  23831  POINT (23.89287 62.27792)      14 -1.365682  0.764411       1
27502  27502  POINT (22.62431 82.26148)      14 -1.365682  0.764411       1
79051  79051  POINT (21.76241 75.56507)      14 -1.365682  0.764411       1
15793  15793  POINT (22.68653 62.28388)      14 -1.365682  0.764411       1

[287 rows x 6 columns]","[26.0, 22.0, 37.0, 30.0, 18.0, 29.0, 25.0]",0.3,0.07
147,10,10,0.0,100000,15,proportional,50,"           0                   geometry  comuna    values   sigma_i  region
1929    1929  POINT (62.88171 24.07154)       0 -0.382803  1.631702       5
57652  57652  POINT (63.69099 31.08212)       0 -0.382803  1.631702       5
58745  58745  POINT (62.71391 19.74940)       0 -0.382803  1.631702       5
72889  72889  POINT (67.61402 15.14128)       0 -0.382803  1.631702       5
16264  16264  POINT (72.36529 22.69436)       0 -0.382803  1.631702       5
...      ...                        ...     ...       ...       ...     ...
66612  66612  POINT (25.05665 63.31964)      14 -0.058914  1.266239       4
33456  33456   POINT (7.79309 77.50472)      14 -0.058914  1.266239       4
31181  31181  POINT (11.13816 79.29064)      14 -0.058914  1.266239       4
4688    4688   POINT (1.96071 76.08449)      14 -0.058914  1.266239       4
73739  73739  POINT (29.92039 64.15789)      14 -0.058914  1.266239       4

[392 rows x 6 columns]","[56.0, 38.0, 30.0, 48.0, 39.0, 39.0]",0.5,0.06
148,10,10,0.0,100000,15,proportional,100,"           0                   geometry  comuna    values   sigma_i  region
19941  19941  POINT (71.85678 28.36766)       0  0.056845  0.931015       0
98069  98069  POINT (76.64369 37.38160)       0  0.056845  0.931015       0
19712  19712  POINT (69.90905 22.45683)       0  0.056845  0.931015       0
24832  24832  POINT (79.29488 31.29164)       0  0.056845  0.931015       0
47490  47490  POINT (75.40079 35.10042)       0  0.056845  0.931015       0
...      ...                        ...     ...       ...       ...     ...
43579  43579   POINT (7.45602 65.82240)      14 -0.863365  0.941755       2
38492  38492  POINT (12.68949 61.87508)      14 -0.863365  0.941755       2
53429  53429   POINT (8.08393 79.33226)      14 -0.863365  0.941755       2
33927  33927  POINT (20.29030 88.48357)      14 -0.863365  0.941755       2
71003  71003   POINT (9.77082 74.51241)      14 -0.863365  0.941755       2

[528 rows x 6 columns]","[110.0, 92.0, 83.0, 63.0]",1.0,0.04
149,10,10,0.0,100000,15,proportional,150,"           0                   geometry  comuna    values   sigma_i  region
46108  46108  POINT (73.37607 20.10719)       0  0.067639  0.815870       0
33292  33292  POINT (72.00453 28.49817)       0  0.067639  0.815870       0
86277  86277  POINT (72.02159 36.85156)       0  0.067639  0.815870       0
6817    6817  POINT (71.65988 30.89505)       0  0.067639  0.815870       0
20049  20049  POINT (64.67668 27.21225)       0  0.067639  0.815870       0
...      ...                        ...     ...       ...       ...     ...
52139  52139   POINT (7.81559 72.38080)      14  0.162951  0.860347       1
49016  49016  POINT (25.78704 61.60418)      14  0.162951  0.860347       1
65899  65899   POINT (7.16821 70.20352)      14  0.162951  0.860347       1
43879  43879  POINT (28.16897 84.49909)      14  0.162951  0.860347       1
63918  63918  POINT (24.82302 62.29943)      14  0.162951  0.860347       1

[396 rows x 6 columns]","[163.0, 98.0]",1.5,0.02
150,10,10,0.0,150000,5,neyman,25,"             0                geometry  comuna    values   sigma_i  region
23449    23449   POINT (61.589 59.537)       0  0.471382  0.858314      11
110497  110497   POINT (51.336 82.921)       0  0.471382  0.858314      11
9616      9616   POINT (36.483 59.195)       0  0.471382  0.858314      11
79312    79312   POINT (32.904 57.713)       0  0.471382  0.858314      11
89031    89031   POINT (45.648 45.977)       0  0.471382  0.858314      11
...        ...                     ...     ...       ...       ...     ...
64321    64321   POINT (99.740 98.827)       4  1.870687  1.087694      15
65392    65392   POINT (77.443 64.545)       4  1.870687  1.087694      15
14180    14180  POINT (91.797 106.871)       4  1.870687  1.087694      15
39325    39325   POINT (80.808 85.578)       4  1.870687  1.087694      15
137635  137635  POINT (97.004 100.477)       4  1.870687  1.087694      15

[733 rows x 6 columns]","[13.0, 15.0, 13.0, 14.0, 13.0, 24.0, 15.0, 15.0, 15.0, 15.0, 18.0, 19.0, 14.0, 20.0, 15.0, 15.0, 21.0, 15.0, 21.0, 20.0, 13.0, 20.0, 16.0]",0.25,0.23
151,10,10,0.0,150000,5,neyman,30,"             0                geometry  comuna    values   sigma_i  region
35002    35002   POINT (40.076 67.822)       0 -0.222783  1.080002       5
63123    63123   POINT (47.402 52.620)       0 -0.222783  1.080002       5
118717  118717   POINT (65.046 57.826)       0 -0.222783  1.080002       5
108079  108079   POINT (40.817 78.352)       0 -0.222783  1.080002       5
57432    57432   POINT (20.815 63.732)       0 -0.222783  1.080002       5
...        ...                     ...     ...       ...       ...     ...
102750  102750  POINT (57.441 107.301)       4  0.982814  1.058489       6
108380  108380   POINT (60.883 99.294)       4  0.982814  1.058489       6
104677  104677   POINT (99.314 76.442)       4  0.982814  1.058489       6
45121    45121   POINT (58.594 99.892)       4  0.982814  1.058489       6
1285      1285   POINT (84.819 83.021)       4  0.982814  1.058489       6

[710 rows x 6 columns]","[20.0, 22.0, 24.0, 29.0, 34.0, 19.0, 24.0, 15.0, 19.0, 33.0, 19.0, 22.0, 15.0, 18.0, 14.0, 19.0, 20.0]",0.3,0.17
152,10,10,0.0,150000,5,neyman,50,"             0                geometry  comuna    values   sigma_i  region
26068    26068   POINT (35.518 75.285)       0  0.511185  1.130660       0
77919    77919   POINT (64.635 52.125)       0  0.511185  1.130660       0
84292    84292   POINT (47.874 65.630)       0  0.511185  1.130660       0
42934    42934   POINT (46.415 55.640)       0  0.511185  1.130660       0
133308  133308   POINT (62.113 58.599)       0  0.511185  1.130660       0
...        ...                     ...     ...       ...       ...     ...
112936  112936   POINT (72.750 77.780)       4 -0.718417  0.944757      10
9406      9406   POINT (60.609 98.751)       4 -0.718417  0.944757      10
129584  129584  POINT (75.987 101.570)       4 -0.718417  0.944757      10
142624  142624   POINT (80.622 88.907)       4 -0.718417  0.944757      10
4319      4319  POINT (76.225 103.501)       4 -0.718417  0.944757      10

[864 rows x 6 columns]","[36.0, 27.0, 26.0, 47.0, 29.0, 34.0, 39.0, 36.0, 25.0, 38.0, 25.0, 28.0, 24.0, 30.0]",0.5,0.14
153,10,10,0.0,150000,5,neyman,100,"             0                geometry  comuna    values   sigma_i  region
48758    48758   POINT (44.914 50.935)       0 -1.139694  1.013625       4
131794  131794   POINT (40.348 84.347)       0 -1.139694  1.013625       4
30086    30086   POINT (58.890 68.558)       0 -1.139694  1.013625       4
138611  138611   POINT (59.991 57.182)       0 -1.139694  1.013625       4
72923    72923   POINT (63.842 60.623)       0 -1.139694  1.013625       4
...        ...                     ...     ...       ...       ...     ...
125096  125096  POINT (79.452 106.937)       4  0.089659  1.008563       3
9245      9245   POINT (60.275 75.363)       4  0.089659  1.008563       3
17003    17003   POINT (64.153 92.001)       4  0.089659  1.008563       3
17028    17028   POINT (71.126 75.738)       4  0.089659  1.008563       3
99282    99282   POINT (92.948 67.360)       4  0.089659  1.008563       3

[773 rows x 6 columns]","[49.0, 70.0, 84.0, 67.0, 62.0, 63.0]",1.0,0.06
154,10,10,0.0,150000,5,neyman,150,"             0               geometry  comuna    values   sigma_i  region
75573    75573  POINT (47.623 57.764)       0 -0.045191  0.722837       1
102677  102677  POINT (28.498 66.464)       0 -0.045191  0.722837       1
139310  139310  POINT (52.276 70.792)       0 -0.045191  0.722837       1
105944  105944  POINT (47.320 40.207)       0 -0.045191  0.722837       1
118133  118133  POINT (41.465 76.756)       0 -0.045191  0.722837       1
...        ...                    ...     ...       ...       ...     ...
148127  148127  POINT (83.843 81.858)       4  0.785129  1.077472       2
51612    51612  POINT (96.726 66.716)       4  0.785129  1.077472       2
129167  129167  POINT (60.291 93.314)       4  0.785129  1.077472       2
62486    62486  POINT (62.590 91.964)       4  0.785129  1.077472       2
115707  115707  POINT (68.316 81.683)       4  0.785129  1.077472       2

[663 rows x 6 columns]","[76.0, 149.0, 117.0]",1.5,0.03
155,10,10,0.0,150000,5,proportional,25,"             0                geometry  comuna    values   sigma_i  region
63855    63855   POINT (67.652 60.222)       0  0.525596  0.914308       5
9474      9474   POINT (57.188 40.316)       0  0.525596  0.914308       5
20700    20700   POINT (59.334 75.292)       0  0.525596  0.914308       5
105527  105527   POINT (45.410 56.692)       0  0.525596  0.914308       5
36293    36293   POINT (34.974 73.808)       0  0.525596  0.914308       5
...        ...                     ...     ...       ...       ...     ...
112372  112372   POINT (88.128 86.980)       4  0.699684  0.913531      10
13987    13987  POINT (90.278 103.570)       4  0.699684  0.913531      10
30047    30047   POINT (63.041 91.320)       4  0.699684  0.913531      10
48539    48539  POINT (58.828 107.127)       4  0.699684  0.913531      10
146746  146746  POINT (69.217 104.658)       4  0.699684  0.913531      10

[406 rows x 6 columns]","[16.0, 19.0, 37.0, 18.0, 21.0, 30.0, 17.0, 25.0, 22.0, 24.0, 27.0, 15.0]",0.25,0.12
156,10,10,0.0,150000,5,proportional,30,"           0                geometry  comuna    values   sigma_i  region
2842    2842   POINT (45.242 45.883)       0  0.159226  1.032521       8
54631  54631   POINT (44.687 81.418)       0  0.159226  1.032521       8
56450  56450   POINT (31.181 59.071)       0  0.159226  1.032521       8
66901  66901   POINT (27.107 67.365)       0  0.159226  1.032521       8
8699    8699   POINT (42.015 62.340)       0  0.159226  1.032521       8
...      ...                     ...     ...       ...       ...     ...
53116  53116  POINT (53.718 102.001)       4 -0.958072  1.245474       5
94476  94476  POINT (71.240 100.461)       4 -0.958072  1.245474       5
67527  67527   POINT (99.718 93.408)       4 -0.958072  1.245474       5
60441  60441   POINT (53.074 93.198)       4 -0.958072  1.245474       5
72128  72128   POINT (93.636 75.962)       4 -0.958072  1.245474       5

[408 rows x 6 columns]","[26.0, 18.0, 26.0, 21.0, 28.0, 26.0, 38.0, 19.0, 19.0, 22.0, 29.0]",0.3,0.11
157,10,10,0.0,150000,5,proportional,50,"             0                geometry  comuna    values   sigma_i  region
83712    83712   POINT (40.880 83.788)       0 -0.563168  0.783334       0
75925    75925   POINT (55.783 71.476)       0 -0.563168  0.783334       0
115067  115067   POINT (40.214 67.365)       0 -0.563168  0.783334       0
102052  102052   POINT (46.564 82.352)       0 -0.563168  0.783334       0
24743    24743   POINT (64.111 64.592)       0 -0.563168  0.783334       0
...        ...                     ...     ...       ...       ...     ...
56870    56870   POINT (60.206 75.973)       4 -1.101987  1.101053       2
141506  141506   POINT (70.207 96.689)       4 -1.101987  1.101053       2
34272    34272   POINT (62.201 75.708)       4 -1.101987  1.101053       2
27379    27379  POINT (68.002 101.100)       4 -1.101987  1.101053       2
25111    25111   POINT (51.543 95.333)       4 -1.101987  1.101053       2

[384 rows x 6 columns]","[60.0, 35.0, 40.0, 63.0, 54.0]",0.5,0.05
158,10,10,0.0,150000,5,proportional,100,"             0                geometry  comuna    values   sigma_i  region
148271  148271   POINT (57.875 76.467)       0  1.252015  0.928420       0
55512    55512   POINT (52.672 85.485)       0  1.252015  0.928420       0
34479    34479   POINT (42.965 52.757)       0  1.252015  0.928420       0
117841  117841   POINT (30.410 52.363)       0  1.252015  0.928420       0
37096    37096   POINT (49.081 86.988)       0  1.252015  0.928420       0
...        ...                     ...     ...       ...       ...     ...
93711    93711   POINT (84.996 87.003)       4 -0.910464  1.137774       1
142055  142055   POINT (60.479 81.061)       4 -0.910464  1.137774       1
114959  114959  POINT (62.263 104.782)       4 -0.910464  1.137774       1
146828  146828   POINT (99.977 95.696)       4 -0.910464  1.137774       1
149849  149849  POINT (83.567 101.313)       4 -0.910464  1.137774       1

[485 rows x 6 columns]","[112.0, 133.0, 77.0]",1.0,0.03
159,10,10,0.0,150000,5,proportional,150,"             0                geometry  comuna    values   sigma_i  region
50321    50321   POINT (66.305 69.166)       0  0.323651  1.049971       1
143478  143478   POINT (21.699 66.948)       0  0.323651  1.049971       1
93007    93007   POINT (42.956 77.394)       0  0.323651  1.049971       1
139323  139323   POINT (34.231 79.674)       0  0.323651  1.049971       1
36448    36448   POINT (38.150 55.484)       0  0.323651  1.049971       1
...        ...                     ...     ...       ...       ...     ...
8234      8234  POINT (82.546 109.883)       4  0.682590  0.715947       0
142741  142741   POINT (95.228 72.798)       4  0.682590  0.715947       0
7330      7330   POINT (84.311 89.519)       4  0.682590  0.715947       0
124776  124776   POINT (96.570 97.029)       4  0.682590  0.715947       0
99221    99221   POINT (81.370 95.890)       4  0.682590  0.715947       0

[384 rows x 6 columns]","[130.0, 125.0]",1.5,0.02
160,10,10,0.0,150000,10,neyman,25,"             0               geometry  comuna    values   sigma_i  region
127847  127847  POINT (36.344 50.575)       0 -1.203398  0.867790       9
6359      6359  POINT (55.101 50.589)       0 -1.203398  0.867790      10
44594    44594  POINT (48.519 68.978)       0 -1.203398  0.867790      10
26331    26331  POINT (39.201 53.823)       0 -1.203398  0.867790      10
111043  111043  POINT (67.378 53.369)       0 -1.203398  0.867790      10
...        ...                    ...     ...       ...       ...     ...
84036    84036  POINT (15.600 91.985)       9 -0.000690  0.602448       8
53458    53458   POINT (2.382 98.080)       9 -0.000690  0.602448       8
10345    10345  POINT (19.126 98.087)       9 -0.000690  0.602448       8
134275  134275  POINT (28.818 96.089)       9 -0.000690  0.602448       8
115822  115822  POINT (28.456 98.441)       9 -0.000690  0.602448       8

[599 rows x 6 columns]","[17.0, 11.0, 13.0, 16.0, 24.0, 18.0, 20.0, 13.0, 23.0, 20.0, 17.0, 22.0, 32.0, 14.0, 19.0, 25.0, 16.0, 13.0]",0.25,0.18
161,10,10,0.0,150000,10,neyman,30,"             0                geometry  comuna    values   sigma_i  region
144636  144636   POINT (55.241 71.798)       0  0.917575  0.782897      13
101546  101546   POINT (40.928 60.768)       0  0.917575  0.782897      13
96034    96034   POINT (61.599 45.387)       0  0.917575  0.782897      13
26100    26100   POINT (50.272 56.756)       0  0.917575  0.782897      13
43136    43136   POINT (37.012 53.264)       0  0.917575  0.782897      13
...        ...                     ...     ...       ...       ...     ...
104501  104501   POINT (17.563 92.077)       9  0.488080  0.639158      12
64996    64996  POINT (20.298 101.659)       9  0.488080  0.639158      12
3924      3924    POINT (2.699 92.046)       9  0.488080  0.639158      12
144860  144860    POINT (3.495 97.941)       9  0.488080  0.639158      12
5580      5580    POINT (2.210 95.776)       9  0.488080  0.639158      12

[652 rows x 6 columns]","[20.0, 30.0, 28.0, 24.0, 19.0, 17.0, 18.0, 14.0, 18.0, 27.0, 23.0, 20.0, 13.0, 16.0, 30.0, 19.0, 16.0]",0.3,0.17
162,10,10,0.0,150000,10,neyman,50,"             0                geometry  comuna    values   sigma_i  region
84167    84167   POINT (45.135 53.910)       0  0.836513  0.838025       5
62107    62107   POINT (36.919 54.988)       0  0.836513  0.838025       5
52307    52307   POINT (35.194 54.589)       0  0.836513  0.838025       5
94603    94603   POINT (63.862 79.619)       0  0.836513  0.838025       5
12672    12672   POINT (63.412 62.863)       0  0.836513  0.838025       5
...        ...                     ...     ...       ...       ...     ...
3537      3537  POINT (12.473 106.648)       9 -0.693577  0.815677       9
50567    50567    POINT (6.294 81.300)       9 -0.693577  0.815677       9
3044      3044  POINT (19.832 100.566)       9 -0.693577  0.815677       9
108512  108512   POINT (23.526 96.379)       9 -0.693577  0.815677       9
48611    48611   POINT (15.682 90.464)       9 -0.693577  0.815677       9

[676 rows x 6 columns]","[42.0, 52.0, 37.0, 23.0, 33.0, 27.0, 53.0, 25.0, 25.0, 36.0]",0.5,0.1
163,10,10,0.0,150000,10,neyman,100,"             0                geometry  comuna    values   sigma_i  region
10972    10972   POINT (58.390 76.954)       0  0.785755  1.040977       4
113653  113653   POINT (42.405 54.065)       0  0.785755  1.040977       4
109939  109939   POINT (63.226 41.305)       0  0.785755  1.040977       4
16294    16294   POINT (46.522 55.894)       0  0.785755  1.040977       4
22188    22188   POINT (42.636 51.779)       0  0.785755  1.040977       4
...        ...                     ...     ...       ...       ...     ...
42750    42750   POINT (8.925 102.589)       9 -0.113002  0.924654       0
57851    57851   POINT (1.331 109.226)       9 -0.113002  0.924654       0
138436  138436   POINT (18.209 91.533)       9 -0.113002  0.924654       0
14962    14962   POINT (20.246 99.772)       9 -0.113002  0.924654       0
111051  111051  POINT (22.116 107.193)       9 -0.113002  0.924654       0

[911 rows x 6 columns]","[66.0, 72.0, 68.0, 85.0, 63.0, 62.0, 49.0]",1.0,0.07
164,10,10,0.0,150000,10,neyman,150,"             0                geometry  comuna    values   sigma_i  region
126977  126977   POINT (58.033 76.667)       0 -0.441972  0.725967       1
11526    11526   POINT (62.219 42.266)       0 -0.441972  0.725967       1
19381    19381   POINT (68.392 42.585)       0 -0.441972  0.725967       1
148404  148404   POINT (57.648 49.724)       0 -0.441972  0.725967       1
15280    15280   POINT (53.742 41.003)       0 -0.441972  0.725967       1
...        ...                     ...     ...       ...       ...     ...
61419    61419   POINT (4.824 102.936)       9 -0.662240  0.687596       2
145215  145215  POINT (27.813 100.919)       9 -0.662240  0.687596       2
123714  123714  POINT (14.730 105.707)       9 -0.662240  0.687596       2
84223    84223  POINT (18.358 109.695)       9 -0.662240  0.687596       2
144398  144398  POINT (27.224 101.571)       9 -0.662240  0.687596       2

[777 rows x 6 columns]","[77.0, 89.0, 140.0, 98.0]",1.5,0.04
