,rows,columns,rho,N,l,allocation,T,gdf_points_sample,needed_sample,T/(rows*columns),RA/(rows*columns)
10,10,10,-0.9,50000,10,neyman,25,"           0                geometry  comuna    values   sigma_i  region
35284  35284   POINT (48.486 54.518)       0 -1.326064  1.337031       0
15114  15114   POINT (39.900 59.810)       0 -1.326064  1.337031       0
35419  35419   POINT (50.457 79.704)       0 -1.326064  1.337031       0
29858  29858   POINT (68.484 75.185)       0 -1.326064  1.337031       0
20316  20316   POINT (43.310 61.661)       0 -1.326064  1.337031       0
...      ...                     ...     ...       ...       ...     ...
17970  17970  POINT (13.738 107.213)       9  2.162057  2.854094      85
15685  15685   POINT (26.631 95.661)       9  2.162057  2.854094      85
3765    3765  POINT (16.859 101.252)       9  2.162057  2.854094      85
4860    4860  POINT (21.587 100.842)       9  2.162057  2.854094      85
47611  47611  POINT (14.552 107.309)       9  2.162057  2.854094      85

[5096 rows x 6 columns]","[11.0, 10.0, 14.0, 12.0, 10.0, 18.0, 30.0, 28.0, 19.0, 28.0, 14.0, 16.0, 18.0, 16.0, 27.0, 42.0, 19.0, 25.0, 24.0, 19.0, 19.0, 22.0, 52.0, 35.0, 30.0, 27.0, 24.0, 37.0, 20.0, 40.0, 42.0, 33.0, 25.0, 18.0, 22.0, 33.0, 24.0, 30.0, 27.0, 21.0, 15.0, 14.0, 7.0, 7.0, 18.0, 18.0, 21.0, 17.0, 18.0, 17.0, 35.0, 31.0, 30.0, 39.0, 43.0, 51.0, 67.0, 53.0, 84.0, 66.0, 58.0, 68.0, 35.0, 33.0, 29.0, 31.0, 132.0, 151.0, 105.0, 75.0, 64.0, 70.0, 30.0, 32.0, 27.0, 42.0, 43.0, 21.0, 56.0, 29.0, 30.0, 32.0, 15.0, 13.0, 12.0, 13.0, 22.0, 23.0, 11.0, 25.0, 25.0]",0.25,0.91
11,10,10,-0.9,50000,10,neyman,30,"           0                geometry  comuna    values   sigma_i  region
20421  20421   POINT (54.343 47.998)       0 -1.114854  1.578401      74
11572  11572   POINT (65.594 63.712)       0 -1.114854  1.578401      74
44908  44908   POINT (64.773 72.939)       0 -1.114854  1.578401      74
46727  46727   POINT (47.634 69.800)       0 -1.114854  1.578401      74
33367  33367   POINT (54.755 55.040)       0 -1.114854  1.578401      74
...      ...                     ...     ...       ...       ...     ...
21415  21415    POINT (3.124 85.793)       9 -0.555980  1.483648      72
4343    4343   POINT (21.336 92.734)       9 -0.555980  1.483648      72
1567    1567  POINT (15.589 101.012)       9 -0.555980  1.483648      72
24221  24221    POINT (2.657 80.766)       9 -0.555980  1.483648      72
20325  20325   POINT (14.557 87.479)       9 -0.555980  1.483648      72

[4595 rows x 6 columns]","[10.0, 14.0, 16.0, 15.0, 17.0, 25.0, 18.0, 20.0, 18.0, 26.0, 28.0, 29.0, 45.0, 51.0, 41.0, 24.0, 26.0, 22.0, 26.0, 28.0, 42.0, 67.0, 51.0, 29.0, 29.0, 39.0, 39.0, 30.0, 60.0, 61.0, 65.0, 28.0, 35.0, 30.0, 33.0, 25.0, 30.0, 45.0, 48.0, 34.0, 31.0, 33.0, 51.0, 38.0, 42.0, 43.0, 40.0, 38.0, 41.0, 32.0, 25.0, 12.0, 27.0, 29.0, 35.0, 29.0, 14.0, 14.0, 15.0, 29.0, 38.0, 38.0, 38.0, 17.0, 19.0, 18.0, 17.0, 20.0, 18.0, 34.0, 22.0, 18.0, 18.0, 82.0, 14.0, 59.0, 34.0, 20.0, 28.0, 44.0, 40.0, 14.0, 23.0]",0.3,0.83
12,10,10,-0.9,50000,10,neyman,50,"           0                geometry  comuna    values   sigma_i  region
21715  21715   POINT (65.568 65.071)       0  1.539663  2.865831      26
39908  39908   POINT (50.961 76.355)       0  1.539663  2.865831      26
20136  20136   POINT (59.660 43.110)       0  1.539663  2.865831      26
4198    4198   POINT (59.555 51.979)       0  1.539663  2.865831      26
29318  29318   POINT (64.585 67.124)       0  1.539663  2.865831      26
...      ...                     ...     ...       ...       ...     ...
36569  36569   POINT (8.333 104.239)       9  1.865430  1.763947      10
25934  25934   POINT (16.938 83.078)       9  1.865430  1.763947      10
1985    1985   POINT (10.553 90.464)       9  1.865430  1.763947      10
22100  22100  POINT (17.703 107.613)       9  1.865430  1.763947      10
39594  39594  POINT (19.322 106.422)       9  1.865430  1.763947      10

[2716 rows x 6 columns]","[24.0, 37.0, 44.0, 22.0, 36.0, 44.0, 47.0, 34.0, 37.0, 25.0, 53.0, 36.0, 37.0, 35.0, 51.0, 38.0, 36.0, 31.0, 23.0, 25.0, 28.0, 37.0, 24.0, 47.0, 43.0, 33.0, 49.0, 70.0, 67.0, 34.0, 27.0, 32.0, 64.0, 40.0, 37.0, 33.0, 39.0, 37.0, 32.0]",0.5,0.39
13,10,10,-0.9,50000,10,neyman,100,"           0               geometry  comuna    values   sigma_i  region
37216  37216  POINT (53.435 78.178)       0 -2.403147  1.332498       9
13228  13228  POINT (58.928 46.005)       0 -2.403147  1.332498       9
13450  13450  POINT (55.064 59.480)       0 -2.403147  1.332498       9
12194  12194  POINT (66.431 72.605)       0 -2.403147  1.332498       9
42597  42597  POINT (66.601 71.319)       0 -2.403147  1.332498       9
...      ...                    ...     ...       ...       ...     ...
27951  27951  POINT (26.939 98.569)       9  3.963152  2.247644      19
5071    5071  POINT (19.218 98.532)       9  3.963152  2.247644      19
7213    7213  POINT (11.105 88.168)       9  3.963152  2.247644      19
22912  22912  POINT (10.239 97.557)       9  3.963152  2.247644      19
11323  11323  POINT (14.733 98.072)       9  3.963152  2.247644      19

[4168 rows x 6 columns]","[67.0, 88.0, 111.0, 46.0, 107.0, 150.0, 43.0, 88.0, 118.0, 73.0, 67.0, 122.0, 55.0, 62.0, 100.0, 65.0, 162.0, 47.0, 86.0, 93.0, 61.0, 56.0, 66.0, 84.0, 63.0, 89.0, 44.0, 63.0, 82.0, 58.0]",1.0,0.3
14,10,10,-0.9,50000,10,neyman,150,"           0               geometry  comuna    values   sigma_i  region
39890  39890  POINT (65.927 56.699)       0 -1.073534  1.496121       2
36134  36134  POINT (68.716 46.240)       0 -1.073534  1.496121       2
48397  48397  POINT (53.103 55.609)       0 -1.073534  1.496121       2
32663  32663  POINT (66.525 53.361)       0 -1.073534  1.496121       2
27888  27888  POINT (44.893 51.207)       0 -1.073534  1.496121       2
...      ...                    ...     ...       ...       ...     ...
40743  40743   POINT (3.325 99.005)       9  0.904710  1.247542       8
4060    4060  POINT (22.652 96.214)       9  0.904710  1.247542       8
39368  39368  POINT (3.342 109.696)       9  0.904710  1.247542       8
42275  42275   POINT (6.181 98.520)       9  0.904710  1.247542       8
14299  14299  POINT (18.608 89.396)       9  0.904710  1.247542       8

[1790 rows x 6 columns]","[126.0, 84.0, 79.0, 101.0, 94.0, 80.0, 105.0, 142.0, 143.0]",1.5,0.09
15,10,10,-0.9,50000,10,proportional,25,"           0                geometry  comuna    values   sigma_i  region
26714  26714   POINT (40.046 66.041)       0  0.038003  1.903218      21
33916  33916   POINT (51.523 59.793)       0  0.038003  1.903218      21
38382  38382   POINT (64.686 50.568)       0  0.038003  1.903218      21
8086    8086   POINT (45.237 67.886)       0  0.038003  1.903218      21
23597  23597   POINT (34.981 57.702)       0  0.038003  1.903218      21
...      ...                     ...     ...       ...       ...     ...
45496  45496    POINT (4.955 93.373)       9  2.482408  2.059280      40
29879  29879   POINT (23.149 91.414)       9  2.482408  2.059280      40
9441    9441  POINT (26.969 108.482)       9  2.482408  2.059280      40
30470  30470  POINT (14.156 100.360)       9  2.482408  2.059280      40
4446    4446  POINT (20.089 106.984)       9  2.482408  2.059280      40

[1904 rows x 6 columns]","[14.0, 15.0, 23.0, 16.0, 29.0, 28.0, 15.0, 36.0, 9.0, 11.0, 18.0, 19.0, 22.0, 24.0, 50.0, 32.0, 23.0, 26.0, 38.0, 16.0, 26.0, 24.0, 12.0, 19.0, 22.0, 24.0, 31.0, 19.0, 24.0, 49.0, 21.0, 15.0, 17.0, 32.0, 25.0, 19.0, 20.0, 31.0, 24.0, 33.0, 34.0, 18.0, 36.0, 25.0, 32.0, 22.0, 19.0, 17.0, 15.0, 29.0]",0.25,0.5
16,10,10,-0.9,50000,10,proportional,30,"           0               geometry  comuna    values   sigma_i  region
25221  25221  POINT (30.942 50.528)       0  0.354755  1.216362      55
18356  18356  POINT (60.856 46.274)       0  0.354755  1.216362      55
14669  14669  POINT (41.014 60.226)       0  0.354755  1.216362      55
921      921  POINT (59.159 46.222)       0  0.354755  1.216362      55
7046    7046  POINT (65.779 40.868)       0  0.354755  1.216362      55
...      ...                    ...     ...       ...       ...     ...
21339  21339  POINT (7.681 101.362)       9 -5.506033  5.983042      43
22892  22892  POINT (18.282 93.847)       9 -5.506033  5.983042      43
13350  13350  POINT (12.501 90.616)       9 -5.506033  5.983042      43
8585    8585  POINT (28.949 94.976)       9 -5.506033  5.983042      43
47909  47909   POINT (6.322 80.958)       9 -5.506033  5.983042      43

[2834 rows x 6 columns]","[9.0, 9.0, 12.0, 12.0, 13.0, 35.0, 15.0, 12.0, 25.0, 25.0, 20.0, 20.0, 18.0, 19.0, 27.0, 20.0, 29.0, 24.0, 27.0, 20.0, 29.0, 10.0, 10.0, 13.0, 11.0, 10.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 17.0, 14.0, 17.0, 16.0, 64.0, 20.0, 21.0, 30.0, 17.0, 44.0, 103.0, 23.0, 16.0, 43.0, 25.0, 33.0, 48.0, 26.0, 28.0, 63.0, 20.0, 34.0, 22.0, 52.0, 69.0, 30.0, 14.0, 15.0, 30.0, 34.0, 33.0, 12.0]",0.3,0.65
17,10,10,-0.9,50000,10,proportional,50,"           0                geometry  comuna    values   sigma_i  region
47751  47751   POINT (57.006 50.992)       0  0.301196  1.405028      14
6315    6315   POINT (46.847 53.226)       0  0.301196  1.405028      14
41741  41741   POINT (44.690 65.641)       0  0.301196  1.405028      14
24047  24047   POINT (52.094 62.359)       0  0.301196  1.405028      14
24842  24842   POINT (66.130 68.358)       0  0.301196  1.405028      14
...      ...                     ...     ...       ...       ...     ...
47788  47788   POINT (29.761 97.729)       9 -0.726378  0.687954      18
14789  14789  POINT (24.867 105.182)       9 -0.726378  0.687954      18
5645    5645   POINT (21.686 99.729)       9 -0.726378  0.687954      18
41131  41131   POINT (14.617 96.806)       9 -0.726378  0.687954      18
32522  32522   POINT (10.532 95.750)       9 -0.726378  0.687954      18

[2239 rows x 6 columns]","[19.0, 74.0, 73.0, 48.0, 48.0, 58.0, 67.0, 35.0, 57.0, 37.0, 68.0, 32.0, 22.0, 28.0, 35.0, 29.0, 12.0, 28.0, 26.0, 55.0, 57.0, 23.0, 41.0, 44.0, 53.0, 18.0, 49.0, 52.0, 51.0, 33.0, 21.0]",0.5,0.31
18,10,10,-0.9,50000,10,proportional,100,"           0                geometry  comuna    values   sigma_i  region
3394    3394   POINT (38.517 58.713)       0 -1.420811  1.939855       1
25499  25499   POINT (47.473 52.057)       0 -1.420811  1.939855       1
13264  13264   POINT (61.571 72.576)       0 -1.420811  1.939855       1
29467  29467   POINT (58.882 52.656)       0 -1.420811  1.939855       1
23630  23630   POINT (68.324 51.706)       0 -1.420811  1.939855       1
...      ...                     ...     ...       ...       ...     ...
21482  21482   POINT (21.006 98.289)       9 -0.260177  1.893121      16
31842  31842  POINT (23.396 108.283)       9 -0.260177  1.893121      16
32955  32955  POINT (17.027 100.595)       9 -0.260177  1.893121      16
36669  36669  POINT (16.462 108.066)       9 -0.260177  1.893121      16
46930  46930    POINT (4.767 84.443)       9 -0.260177  1.893121      16

[2233 rows x 6 columns]","[72.0, 67.0, 87.0, 68.0, 67.0, 80.0, 55.0, 88.0, 120.0, 84.0, 89.0, 78.0, 108.0, 67.0, 54.0, 86.0, 75.0, 81.0]",1.0,0.18
19,10,10,-0.9,50000,10,proportional,150,"           0                geometry  comuna    values   sigma_i  region
13122  13122   POINT (54.717 49.692)       0 -1.871731  2.711749       2
8471    8471   POINT (56.004 62.936)       0 -1.871731  2.711749       2
17303  17303   POINT (62.214 67.346)       0 -1.871731  2.711749       2
23387  23387   POINT (69.015 42.756)       0 -1.871731  2.711749       2
22789  22789   POINT (41.178 66.998)       0 -1.871731  2.711749       2
...      ...                     ...     ...       ...       ...     ...
6190    6190    POINT (4.286 85.831)       9  0.472013  0.876972       0
49140  49140  POINT (17.876 105.837)       9  0.472013  0.876972       0
14917  14917    POINT (3.677 82.954)       9  0.472013  0.876972       0
40730  40730   POINT (28.202 94.610)       9  0.472013  0.876972       0
24936  24936  POINT (22.942 108.797)       9  0.472013  0.876972       0

[1565 rows x 6 columns]","[129.0, 185.0, 121.0, 126.0, 117.0, 93.0, 151.0, 101.0]",1.5,0.08
