,sample,T,rho
245,18.0,25,-0.9
246,19.0,25,-0.9
247,22.0,25,-0.9
248,24.0,25,-0.9
249,50.0,25,-0.9
250,32.0,25,-0.9
251,23.0,25,-0.9
252,26.0,25,-0.9
253,38.0,25,-0.9
254,16.0,25,-0.9
255,26.0,25,-0.9
256,24.0,25,-0.9
257,12.0,25,-0.9
258,19.0,25,-0.9
259,22.0,25,-0.9
260,24.0,25,-0.9
261,31.0,25,-0.9
262,19.0,25,-0.9
263,24.0,25,-0.9
264,49.0,25,-0.9
265,21.0,25,-0.9
266,15.0,25,-0.9
267,17.0,25,-0.9
268,32.0,25,-0.9
269,25.0,25,-0.9
270,19.0,25,-0.9
271,20.0,25,-0.9
272,31.0,25,-0.9
273,24.0,25,-0.9
274,33.0,25,-0.9
275,34.0,25,-0.9
276,18.0,25,-0.9
277,36.0,25,-0.9
278,25.0,25,-0.9
279,32.0,25,-0.9
280,22.0,25,-0.9
281,19.0,25,-0.9
282,17.0,25,-0.9
283,15.0,25,-0.9
284,29.0,25,-0.9
285,14.0,25,-0.9
286,17.0,25,-0.9
287,39.0,25,-0.9
288,26.0,25,-0.9
289,29.0,25,-0.9
290,26.0,25,-0.9
291,37.0,25,-0.9
292,21.0,25,-0.9
293,24.0,25,-0.9
294,26.0,25,-0.9
295,44.0,25,-0.9
296,24.0,25,-0.9
297,22.0,25,-0.9
298,17.0,25,-0.9
299,21.0,25,-0.9
300,19.0,25,-0.9
301,15.0,25,-0.9
302,13.0,25,-0.9
303,12.0,25,-0.9
304,10.0,25,-0.9
305,19.0,25,-0.9
306,22.0,25,-0.9
307,22.0,25,-0.9
308,24.0,25,-0.9
309,23.0,25,-0.9
310,16.0,25,-0.9
311,16.0,25,-0.9
312,17.0,25,-0.9
313,27.0,25,-0.9
314,23.0,25,-0.9
315,27.0,25,-0.9
316,32.0,25,-0.9
317,25.0,25,-0.9
318,27.0,25,-0.9
319,21.0,25,-0.9
320,22.0,25,-0.9
321,21.0,25,-0.9
322,20.0,25,-0.9
323,28.0,25,-0.9
324,20.0,25,-0.9
325,34.0,25,-0.9
326,33.0,25,-0.9
327,32.0,25,-0.9
328,34.0,25,-0.9
329,28.0,25,-0.9
330,19.0,25,-0.9
331,21.0,25,-0.9
332,22.0,25,-0.9
333,33.0,25,-0.9
334,28.0,25,-0.9
335,38.0,25,-0.9
336,24.0,25,-0.9
337,22.0,25,-0.9
338,17.0,25,-0.9
339,21.0,25,-0.9
340,22.0,25,-0.9
341,21.0,25,-0.9
342,21.0,25,-0.9
343,23.0,25,-0.9
344,24.0,25,-0.9
345,28.0,25,-0.9
346,39.0,25,-0.9
347,36.0,25,-0.9
348,32.0,25,-0.9
349,30.0,25,-0.9
350,36.0,25,-0.9
351,20.0,25,-0.9
352,20.0,25,-0.9
353,26.0,25,-0.9
354,18.0,25,-0.9
355,12.0,25,-0.9
356,8.0,25,-0.9
357,8.0,25,-0.9
358,14.0,25,-0.9
359,27.0,25,-0.9
360,28.0,25,-0.9
361,28.0,25,-0.9
362,16.0,25,-0.9
363,10.0,25,-0.9
364,9.0,25,-0.9
365,38.0,25,-0.9
366,24.0,25,-0.9
367,38.0,25,-0.9
368,18.0,25,-0.9
369,28.0,25,-0.9
370,30.0,25,-0.9
371,27.0,25,-0.9
372,11.0,25,-0.9
373,19.0,25,-0.9
374,15.0,25,-0.9
375,12.0,25,-0.9
376,19.0,25,-0.9
377,13.0,25,-0.9
378,15.0,25,-0.9
379,12.0,25,-0.9
380,24.0,25,-0.9
381,29.0,25,-0.9
382,14.0,25,-0.9
383,16.0,25,-0.9
384,26.0,25,-0.9
385,23.0,25,-0.9
386,30.0,25,-0.9
387,23.0,25,-0.9
388,15.0,25,-0.9
389,23.0,25,-0.9
390,19.0,25,-0.9
391,23.0,25,-0.9
392,15.0,25,-0.9
393,32.0,25,-0.9
394,18.0,25,-0.9
395,28.0,25,-0.9
396,9.0,25,-0.9
397,27.0,25,-0.9
398,24.0,25,-0.9
399,15.0,25,-0.9
400,20.0,25,-0.9
401,27.0,25,-0.9
402,18.0,25,-0.9
403,17.0,25,-0.9
404,19.0,25,-0.9
405,14.0,25,-0.9
406,19.0,25,-0.9
407,25.0,25,-0.9
408,26.0,25,-0.9
409,28.0,25,-0.9
410,16.0,25,-0.9
411,16.0,25,-0.9
412,17.0,25,-0.9
413,17.0,25,-0.9
414,18.0,25,-0.9
415,16.0,25,-0.9
416,15.0,25,-0.9
417,28.0,25,-0.9
418,16.0,25,-0.9
419,16.0,25,-0.9
420,15.0,25,-0.9
421,19.0,25,-0.9
422,15.0,25,-0.9
423,15.0,25,-0.9
424,13.0,25,-0.9
425,12.0,25,-0.9
426,13.0,25,-0.9
427,17.0,25,-0.9
428,18.0,25,-0.9
429,13.0,25,-0.9
430,12.0,25,-0.9
431,12.0,25,-0.9
432,11.0,25,-0.9
433,13.0,25,-0.9
434,19.0,25,-0.9
435,16.0,25,-0.9
436,16.0,25,-0.9
437,11.0,25,-0.9
438,22.0,25,-0.9
439,11.0,25,-0.9
440,30.0,25,-0.9
441,20.0,25,-0.9
442,20.0,25,-0.9
443,20.0,25,-0.9
444,24.0,25,-0.9
445,18.0,25,-0.9
446,24.0,25,-0.9
447,19.0,25,-0.9
448,30.0,25,-0.9
449,24.0,25,-0.9
450,22.0,25,-0.9
451,21.0,25,-0.9
452,15.0,25,-0.9
453,24.0,25,-0.9
454,36.0,25,-0.9
455,27.0,25,-0.9
456,22.0,25,-0.9
457,18.0,25,-0.9
458,15.0,25,-0.9
459,16.0,25,-0.9
460,19.0,25,-0.9
461,27.0,25,-0.9
462,35.0,25,-0.9
463,37.0,25,-0.9
464,27.0,25,-0.9
465,12.0,25,-0.9
466,21.0,25,-0.9
467,17.0,25,-0.9
468,10.0,25,-0.9
469,10.0,25,-0.9
470,21.0,25,-0.9
471,21.0,25,-0.9
472,17.0,25,-0.9
473,26.0,25,-0.9
474,16.0,25,-0.9
475,13.0,25,-0.9
476,12.0,25,-0.9
477,30.0,25,-0.9
478,18.0,25,-0.9
479,14.0,25,-0.9
480,15.0,25,-0.9
481,22.0,25,-0.9
482,31.0,25,-0.9
483,25.0,25,-0.9
484,18.0,25,-0.9
485,14.0,25,-0.9
486,16.0,25,-0.9
487,16.0,25,-0.9
488,14.0,25,-0.9
489,14.0,25,-0.9
490,11.0,25,-0.9
