,rho,needed_samples,threshold_value,needed_sample_T,check
0,-0.99,"[2210.0, 1497.0, 1186.0, 1206.0, 1110.0, 1027.0, 3559.0, 2862.0, 1380.0, 2469.0]",395,"[175.0, 287.0, 392.0, 274.0, 208.0, 193.0, 328.0, 245.0, 370.0, 248.0, 333.0, 238.0, 286.0, 218.0, 295.0, 293.0, 250.0, 266.0, 316.0, 293.0, 195.0, 332.0, 337.0]",True
1,-0.89,"[325.0, 169.0, 286.0, 350.0, 455.0, 138.0, 366.0, 247.0, 163.0, 249.0]",83,"[56.0, 50.0, 43.0, 47.0, 44.0, 35.0, 62.0, 43.0, 48.0, 53.0, 53.0, 42.0, 73.0, 36.0, 50.0, 50.0, 46.0, 57.0, 66.0, 75.0, 39.0, 69.0, 57.0, 53.0, 72.0, 48.0, 58.0, 66.0]",True
2,-0.79,"[170.0, 106.0, 160.0, 237.0, 245.0, 222.0, 160.0, 203.0, 152.0, 149.0]",52,"[34.0, 48.0, 41.0, 30.0, 32.0, 31.0, 29.0, 36.0, 43.0, 33.0, 35.0, 26.0, 44.0, 20.0, 37.0, 38.0, 39.0, 28.0, 28.0, 32.0, 34.0, 40.0, 37.0, 43.0, 31.0]",True
3,-0.6900000000000001,"[117.0, 105.0, 121.0, 217.0, 170.0, 143.0, 161.0, 163.0, 118.0, 124.0]",78,"[61.0, 48.0, 45.0, 62.0, 48.0, 49.0, 66.0, 59.0, 42.0, 40.0, 65.0, 47.0, 67.0, 58.0, 42.0]",True
4,-0.5900000000000001,"[104.0, 70.0, 93.0, 128.0, 121.0, 100.0, 96.0, 134.0, 95.0, 86.0]",34,"[20.0, 20.0, 19.0, 19.0, 29.0, 19.0, 20.0, 19.0, 29.0, 21.0, 24.0, 23.0, 23.0, 19.0, 25.0, 21.0, 16.0, 20.0, 31.0, 21.0, 19.0, 23.0, 31.0, 21.0, 30.0, 19.0, 23.0]",True
5,-0.4900000000000001,"[81.0, 86.0, 74.0, 102.0, 129.0, 103.0, 124.0, 114.0, 94.0, 93.0]",55,"[49.0, 28.0, 49.0, 40.0, 53.0, 36.0, 43.0, 41.0, 33.0, 36.0, 49.0, 41.0, 29.0, 30.0]",True
6,-0.3900000000000001,"[79.0, 60.0, 81.0, 97.0, 101.0, 107.0, 93.0, 91.0, 88.0, 85.0]",36,"[33.0, 30.0, 29.0, 33.0, 23.0, 35.0, 23.0, 29.0, 20.0, 24.0, 20.0, 18.0, 22.0, 33.0, 25.0, 19.0, 26.0, 22.0, 27.0, 21.0, 24.0]",True
7,-0.29000000000000015,"[84.0, 85.0, 86.0, 104.0, 100.0, 76.0, 90.0, 105.0, 89.0, 60.0]",45,"[32.0, 37.0, 23.0, 29.0, 33.0, 40.0, 42.0, 28.0, 23.0, 27.0, 27.0, 24.0, 37.0, 24.0]",True
8,-0.19000000000000017,"[68.0, 79.0, 69.0, 99.0, 103.0, 91.0, 78.0, 124.0, 73.0, 60.0]",45,"[28.0, 33.0, 30.0, 29.0, 42.0, 33.0, 37.0, 29.0, 25.0, 33.0, 43.0, 30.0, 28.0]",True
