,rho,needed_samples,threshold_value,needed_sample_T,check
0,-0.99,"[2658.0, 1888.0, 1657.0, 2573.0, 3644.0, 6387.0, 1477.0, 3134.0, 1590.0, 2270.0]",568,"[335.0, 498.0, 448.0, 396.0, 451.0, 409.0, 343.0, 482.0, 354.0, 391.0, 324.0, 355.0, 376.0, 372.0, 486.0, 315.0]",True
1,-0.89,"[199.0, 116.0, 232.0, 333.0, 317.0, 220.0, 272.0, 202.0, 225.0, 193.0]",16,"[8.0, 10.0, 7.0, 18.0, 18.0, 17.0, 15.0, 15.0, 15.0, 14.0, 15.0, 15.0, 15.0, 19.0, 33.0, 14.0, 17.0, 12.0, 9.0, 7.0, 20.0, 10.0, 7.0, 8.0, 11.0, 9.0, 7.0, 9.0, 8.0, 10.0, 12.0, 13.0, 9.0, 11.0, 12.0, 15.0, 10.0, 12.0, 9.0, 7.0, 8.0, 12.0, 11.0, 8.0, 9.0, 10.0, 9.0, 9.0, 12.0, 10.0, 12.0, 32.0, 10.0, 7.0, 12.0, 11.0, 12.0, 7.0, 7.0, 11.0, 11.0, 13.0, 17.0, 10.0, 8.0, 23.0, 28.0, 9.0, 9.0, 8.0, 11.0, 13.0, 20.0, 11.0, 8.0, 11.0, 9.0, 15.0, 9.0, 12.0, 24.0, 11.0, 9.0, 8.0, 8.0, 11.0, 7.0, 8.0, 10.0, 10.0, 30.0, 8.0, 17.0, 14.0, 11.0, 7.0, 8.0, 11.0, 12.0, 9.0, 9.0, 11.0, 9.0, 11.0, 19.0, 11.0, 11.0, 11.0, 8.0, 15.0, 10.0, 8.0, 9.0, 8.0, 11.0, 8.0, 11.0, 7.0, 14.0, 8.0, 10.0, 14.0, 23.0, 20.0, 9.0, 14.0, 9.0, 14.0, 16.0, 8.0, 7.0, 8.0, 7.0, 10.0, 9.0, 10.0, 12.0, 12.0, 10.0, 8.0, 8.0, 13.0, 8.0, 20.0, 10.0, 10.0, 16.0, 20.0]",False
2,-0.79,"[171.0, 145.0, 210.0, 167.0, 173.0, 226.0, 179.0, 234.0, 162.0, 155.0]",21,"[10.0, 10.0, 11.0, 10.0, 10.0, 18.0, 11.0, 15.0, 19.0, 10.0, 16.0, 22.0, 11.0, 15.0, 15.0, 18.0, 15.0, 13.0, 18.0, 15.0, 13.0, 14.0, 12.0, 12.0, 11.0, 9.0, 15.0, 14.0, 14.0, 18.0, 17.0, 10.0, 15.0, 16.0, 18.0, 9.0, 15.0, 14.0, 16.0, 18.0, 12.0, 20.0, 12.0, 24.0, 15.0, 17.0, 12.0, 17.0, 13.0, 13.0, 12.0, 15.0, 14.0, 14.0, 14.0, 15.0, 14.0, 16.0, 11.0, 13.0, 16.0, 13.0, 12.0, 22.0, 15.0, 18.0]",False
3,-0.6900000000000001,"[100.0, 107.0, 96.0, 165.0, 154.0, 129.0, 137.0, 181.0, 122.0, 115.0]",38,"[22.0, 22.0, 26.0, 31.0, 28.0, 22.0, 26.0, 37.0, 32.0, 27.0, 18.0, 24.0, 30.0, 26.0, 18.0, 23.0, 20.0, 24.0, 23.0, 23.0, 27.0, 25.0, 18.0, 16.0, 28.0, 36.0, 37.0]",True
4,-0.5900000000000001,"[106.0, 89.0, 111.0, 167.0, 145.0, 125.0, 134.0, 142.0, 96.0, 98.0]",35,"[20.0, 24.0, 30.0, 17.0, 23.0, 22.0, 24.0, 23.0, 25.0, 25.0, 22.0, 28.0, 30.0, 33.0, 21.0, 20.0, 28.0, 33.0, 23.0, 22.0, 23.0, 19.0, 23.0, 22.0, 18.0, 21.0, 23.0]",True
5,-0.4900000000000001,"[71.0, 92.0, 101.0, 112.0, 143.0, 96.0, 114.0, 136.0, 80.0, 93.0]",53,"[30.0, 42.0, 43.0, 31.0, 46.0, 35.0, 37.0, 32.0, 45.0, 38.0, 34.0, 45.0, 30.0, 31.0, 31.0, 34.0]",True
6,-0.3900000000000001,"[70.0, 63.0, 77.0, 139.0, 100.0, 99.0, 107.0, 125.0, 110.0, 79.0]",47,"[42.0, 34.0, 43.0, 36.0, 29.0, 29.0, 35.0, 43.0, 28.0, 39.0, 34.0, 33.0, 24.0]",True
